accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
jazz and blues,0.94,16600000,7480000,1.47
jewelry,0.56,18100,8100,1.47
jewelry repair,0.08,368000,201000,1.47
jewish restaurant,0.22,550000,110000,1.47
juice bars,0.06,74000,60500,1.48
junk hauling,0.08,2740000,201000,1.48
junk removal,0.05,22200,8100,1.48
karaoke,0.63,55600000,20400000,1.48
kayaking,0.04,22200,18100,1.48
kebab restaurant,0.06,1500000,1220000,1.49
keys,0.16,1000000,368000,1.49
Keyword,0.31,7480000,2240000,1.49
kids activities,0.32,20400000,6120000,1.5
kiosk,0.16,24900000,7480000,1.5
kitchen and bath,0.79,33100,22200,1.5
kiteboarding,0.24,12100,6600,1.5
knitting supplies,0.05,12100,9900,1.52
korean restaurant,0.03,1600,260,1.52
kosher restaurant,0.12,12100,1900,1.52
kurdish restaurant,0.06,720,390,1.52
laboratory testing,0.14,368000,165000,1.53
lactation services,0.84,1830000,823000,1.53
lakes,0.33,4090000,823000,1.54
landmarks,0.32,550000,246000,1.54
landscape architects,0.36,3350000,1830000,1.54
landscaping,0.09,1830000,823000,1.55
language schools,0.29,5000000,1830000,1.55
laos restaurant,0.56,110000,90500,1.55
laotian restaurant,0.64,2400,1600,1.55
laser eye surgery,0.07,246000,201000,1.56
laser hair removal,0.05,110000,90500,1.57
laser tag,0.07,2740000,1000000,1.58
lasik,0.85,2740000,2240000,1.58
latin american restaurant,0.62,2240000,823000,1.58
lawn bowling,0.09,755000000,83100000,1.59
lawyers,0.16,37200000,13600000,1.59
leather goods,0.47,90500,40500,1.59
lebanese restaurant,0.15,12100,4400,1.59
leisure centers,0.07,60500,27100,1.59
libraries,0.38,3600,2900,1.59
life coach,0.02,201000,22200,1.6
lighting equipment,0.31,165000,49500,1.6
lighting fixtures,0.14,368000,135000,1.62
ligurian,0.29,1500000,673000,1.62
limos,0.65,135000,49500,1.63
linens,0.06,1600,880,1.63
lingerie,0.11,9900,2900,1.63
live/raw food,0.24,12100,1600,1.63
local flavor,0.34,480,28,1.63
local services,0.38,301000,90500,1.63
locksmiths,0.87,301000,246000,1.64
lounges,0.01,110000,74000,1.64
luggage,0.1,90500,49500,1.64
lumbard,0.38,1000000,550000,1.64
lyonnais restaurant,0.36,3350000,1830000,1.65
magicians,0.27,550000,450000,1.65
mags,0.03,2400,720,1.65
makeup artists,0.2,22200,9900,1.65
malaysian restaurant,0.47,450000,301000,1.66
mamak restaurant,0.28,1500000,823000,1.67
marching bands,0.24,110000,60500,1.67
market stalls,0.23,4090000,1000000,1.67
marketing,0.56,74000,49500,1.68
martial arts,0.59,301000,165000,1.69
masonry/concrete,0.06,6600,1300,1.69
mass media,0.09,27100,9900,1.7
massage,1,1220000,450000,1.7
massage schools,0.4,40500,1600,1.7
massage therapy,0.33,9140000,2740000,1.7
matchmakers,0.14,55600000,24900000,1.7
maternity wear,0.04,27100,12100,1.7
mattresses,0.1,74000,49500,1.71
meat shops,0.14,90500,14800,1.71
meatballs,0.3,16600000,4090000,1.71
medical centers,0.05,246000,110000,1.71
medical spas,0.2,1500000,368000,1.71
medical supplies,0.61,2240000,1220000,1.72
medical transportation,0.26,20400000,7480000,1.72
mediterranean restaurant,0.28,2240000,823000,1.72
mental health,0.22,12100,8100,1.72
mexican restaurant,0.04,6600,720,1.73
middle eastern restaurant,0.04,390,110,1.74
middle schools,0.69,2740000,1220000,1.74
midwives,1,550000,301000,1.75
milk bars,0.23,1830000,673000,1.75
mini golf,0.42,1220000,135000,1.75
mobile clinics,0.38,135000,90500,1.75
mobile phone repair,0.06,8100,3600,1.76
mobile phones,0.07,90500,27100,1.76
modern australian restaurant,0.24,6120000,1830000,1.76
modern european restaurant,0.15,24900000,11100000,1.77
mongolian restaurant,0.7,5000000,2240000,1.77
moroccan restaurant,0.07,550000,110000,1.78
mortgage brokers,0.07,1220000,823000,1.78
mosques,0.14,2240000,1220000,1.78
motorcycle dealers,0.13,2740000,823000,1.79
motorcycle gear,0.01,74000,22200,1.79
motorcycle rental,0.04,246000,90500,1.79
motorcycle repair,0.09,55600000,13600000,1.8
mountain biking,0.6,9140000,1830000,1.8
movers,0.08,9900,2400,1.8
mulled wine,0.36,368000,135000,1.82
museums,0.08,3600,1000,1.82
music,0.09,27100,8100,1.83
music venues,0.12,2740000,1830000,1.84
musical instruments,0.22,5400,2400,1.85
musicians,0.2,13600000,3350000,1.85
nail salons,0.14,27100,12100,1.86
naturopathic,0.05,480,170,1.86
neurologist,0.02,2400,1600,1.86
new zealand restaurant,0.06,18100,14800,1.86
newspapers,0.81,90500,60500,1.86
night food,0.7,74000,60500,1.86
nightlife,0.11,135000,49500,1.86
non-profit,0.22,135000,74000,1.87
northern german,0.18,3600,2900,1.88
notaries,0.1,49500,22200,1.88
nudist,0.33,450000,246000,1.89
